Designator,Mid X,Mid Y,Rotation,Layer
C1,211.5,-129.5,0.0,top
C10,87.0,-120.5,90.0,top
C100,204.0,-94.09375,0.0,top
C101,204.0,-96.09375,0.0,top
C11,96.5,-119.5,0.0,top
C110,204.0,-79.5,0.0,top
C111,203.98,-81.5,0.0,top
C12,94.0,-135.5,180.0,top
C120,204.0,-108.5,0.0,top
C121,204.0,-110.5,0.0,top
C13,85.5,-135.5,180.0,top
C130,96.0,-64.5,180.0,top
C2,106.0,-64.5,0.0,top
C20,131.0,-120.5,90.0,top
C21,122.5,-135.5,270.0,top
C22,129.5,-135.5,270.0,top
C23,122.5,-120.5,90.0,top
C3,61.75,-136.02,180.0,top
C30,150.5,-120.5,90.0,top
C31,143.0,-120.5,90.0,top
C32,150.5,-135.5,270.0,top
C33,143.0,-135.5,270.0,top
C4,161.0,-113.5,180.0,top
C40,166.5,-120.0,0.0,top
C41,173.0,-120.5,90.0,top
C42,165.5,-135.5,270.0,top
C43,173.0,-135.5,270.0,top
C5,219.5,-134.5,0.0,top
C50,75.0,-135.5,180.0,top
C6,183.5,-109.0,180.0,top
C60,188.0,-120.5,90.0,top
C61,196.0,-120.5,90.0,top
C62,188.5,-135.5,270.0,top
C63,196.0,-135.5,270.0,top
C7,103.0,-74.5,315.0,top
C70,61.5,-122.5675,0.0,top
C71,60.95,-103.9325,180.0,top
C80,73.0,-99.5,270.0,top
C81,103.5,-100.5,315.0,top
C82,78.5,-85.0,45.0,top
C83,83.5,-80.5,45.0,top
C84,91.0,-112.0,315.0,top
C85,104.0,-92.0,45.0,top
C90,120.0,-87.0,90.0,top
C91,118.5,-95.0,90.0,top
C92,125.5,-114.0,270.0,top
C93,131.5,-114.0,270.0,top
C94,140.0,-114.5,270.0,top
C95,148.5,-114.5,270.0,top
C96,156.5,-99.0,0.0,top
C97,135.5,-78.0,180.0,top
C98,126.0,-77.5,180.0,top
D1,183.5225,-103.27,0.0,top
D2,80.7875,-68.18,0.0,top
F1,183.5,-97.49,0.0,top
FID1,50.998082,-60.186769,0.0,top
FID2,221.97,-144.31,0.0,top
FID3,52.05,-144.45,0.0,top
J1,148.0,-65.0,0.0,top
J2,217.5,-92.5,90.0,top
J3,57.32,-65.54,90.0,top
J4,62.713333,-65.54,90.0,top
J5,68.106667,-65.54,90.0,top
J6,73.5,-65.54,90.0,top
R104,156.5,-106.5,180.0,top
R105,145.5,-114.5,90.0,top
R106,138.5,-114.5,90.0,top
R107,134.0,-114.0,90.0,top
R108,156.0,-94.5,90.0,top
R109,117.0,-104.0,180.0,top
R110,117.0,-102.5,180.0,top
R111,117.0,-101.0,180.0,top
R112,117.0,-99.5,180.0,top
R130,91.0,-64.5,0.0,top
R131,87.5,-65.0,90.0,top
R132,100.0,-70.0,90.0,top
R133,96.5,-73.0,90.0,top
R134,87.5,-68.5,90.0,top
R2,81.0,-62.99,180.0,top
R3,81.0,-65.585,0.0,top
R4,95.5,-81.0,135.0,top
R60,186.5,-115.5,270.0,top
R61,188.0,-115.5,270.0,top
R62,189.5,-115.5,270.0,top
R63,191.0,-115.5,270.0,top
R64,198.5,-115.5,270.0,top
R65,200.0,-115.5,270.0,top
R66,195.5,-115.5,270.0,top
R67,197.0,-115.5,270.0,top
R68,105.5,-137.5,0.0,top
R69,194.0,-115.5,270.0,top
R7,78.5,-108.5,270.0,top
R70,192.5,-115.5,270.0,top
R8,160.5,-96.175,270.0,top
R90,117.0,-110.0,0.0,top
R91,117.0,-108.5,0.0,top
R92,117.0,-107.0,0.0,top
R93,117.0,-105.5,0.0,top
R97,156.5,-100.5,180.0,top
R98,156.5,-102.5,180.0,top
U1,91.0,-128.0,180.0,top
U10,200.5,-88.5,0.0,top
U11,200.5,-74.0,0.0,top
U12,200.5,-103.0,0.0,top
U13,93.565,-68.215,270.0,top
U2,126.5,-128.0,180.0,top
U3,146.666667,-128.0,180.0,top
U4,169.333333,-128.0,180.0,top
U5,74.0,-129.5,180.0,top
U6,192.0,-128.0,180.0,top
U7,61.5,-113.0675,270.0,top
U8,87.810853,-95.1775,225.0,top
U9,138.15,-95.1775,0.0,top
Y1,99.5,-77.5,225.0,top
